Observation id,FT50.Exp1.Cami,,,,,,,,
,,,,,,,,,
Media file(s),,,,,,,,,
,,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/2_GH030008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/3_GH040008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/4_GH050008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/5_GH060008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/6_GH070008.mp4,,,,,,,,
Player #1,C:/Users/sbro225/Desktop/BORIS PROJECTS/7_GH080008.mp4,,,,,,,,
,,,,,,,,,
Observation date,2022-09-30 10:55:05,,,,,,,,
,,,,,,,,,
Description,,,,,,,,,
,,,,,,,,,
Time offset (s),0.0,,,,,,,,
,,,,,,,,,
independent variables,,,,,,,,,
variable,value,,,,,,,,
,,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
556.451,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Pen Walls,,START
556.691,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Touching,Distance,Ball,,STOP
557.401,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Pen Walls,,STOP
557.402,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,R4,,START
557.650,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,R4,,STOP
557.693,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R4,Touching,Distance,Robot,,STOP
557.953,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Pen Walls,,STOP
558.151,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,R2,,START
558.191,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Touching,Distance,Plush,,START
558.699,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Pen Walls,,START
559.154,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,R2,,STOP
559.155,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Pen Walls,,START
560.209,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Pen Walls,,STOP
560.467,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Cups,,START
560.707,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Cups,,STOP
560.708,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Pen Walls,,START
560.906,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Pen Walls,,STOP
562.701,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Pen Walls,,STOP
563.201,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,R3,,START
563.402,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,R2,,START
563.643,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,R2,,STOP
563.644,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Pen Walls,,START
563.702,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,R3,,STOP
563.964,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Robot,,START
564.965,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,Robot,,STOP
565.210,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R4,Q2,Location,,,STOP
565.211,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R4,Q3,Location,,,START
565.963,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,R1,,START
565.965,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Touching,Distance,R1,,STOP
566.195,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,R2,,START
566.216,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Touching,Distance,Plush,,STOP
566.400,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,R2,,STOP
566.442,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Q2,Location,,,STOP
566.443,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Q0,Location,,,START
567.151,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Pen Walls,,STOP
567.152,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Cups,,START
567.447,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,R2,,START
567.868,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,R2,,STOP
567.968,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,Donor,Touching,Distance,Plush,,START
568.152,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Cups,,STOP
568.696,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,Cat Tower Toy,,START
569.002,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,Cat Tower Toy,,STOP
569.154,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R3,Touching,Distance,Robot,,START
569.444,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,R2,,START
569.635,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,Cat Tower Toy,,START
569.636,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Touching,Distance,R2,,STOP
569.695,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Q0,Location,,,STOP
569.696,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R2,Q1,Location,,,START
569.699,C:/Users/sbro225/Desktop/BORIS PROJECTS/1_GH020008.mp4,4380.030,29.97,R1,Q0,Location,,,STOP
